SS;Stage name;Nationality;User name;Real name;Group;Car name;time1;time2;time3;Finish realtime;Penalty;Service penalty;Super rally;Progress;Comment
1;Akagi 2;FI;QazRa;J.A;Group N4;Subaru Impreza N14 N4;68.7495;124.004;179.109;2022-09-29 15:21:01;;;;F;Snow/tarmac wonder setupz lel
1;Akagi 2;ES;TASIS Edgar;Edgar Tasis Suarez;Group N4;Mitsubishi Lancer Evo IX N4;70.3505;126.563;182.749;2022-10-02 23:30:35;;;;F;
1;Akagi 2;DE;Kringelwurst;RICHTER Erik;Group N4;Mitsubishi Lancer Evo IX N4;71.0327;127.243;183.345;2022-10-02 16:07:50;;;;F;:thinkies:
1;Akagi 2;DE;Maximilian Maksy;Maximilian Werner;Group N4;Mitsubishi Lancer Evo IX N4;70.2068;126.665;183.658;2022-10-02 19:32:11;;;;F;my lines were awful
1;Akagi 2;GB;Joe Hutchinson;Joe Hutchinson;Group N4;Mitsubishi Lancer Evo IX N4;70.9879;128.003;186.314;2022-09-27 21:22:49;;;;F;that felt like understeer city
1;Akagi 2;EE;ninko;Silver J&#245ffert;Group N4;Mitsubishi Lancer Evo IX N4;71.6655;129.167;186.432;2022-09-29 21:13:31;;;;F;bit understeery innit
1;Akagi 2;NO;Roy Magnes;Roy Magnes;Group N4;Subaru Impreza N14 N4;72.3811;129.781;186.532;2022-09-30 19:34:09;;;;F;Felt slow, but looks like others had a worse experience here
1;Akagi 2;DE;Hawk24;Alexander Merz;Group N4;Mitsubishi Lancer Evo IX N4;70.376;129.702;186.667;2022-10-01 18:06:34;;;;F;cancer stage
1;Akagi 2;;Erki Erik Poola;;Group N4;Mitsubishi Lancer Evo IX N4;72.4529;130.481;186.936;2022-09-26 17:06:08;;;;F;
1;Akagi 2;BE;THELC Matt;THELC Matt;Group N4;Mitsubishi Lancer Evo IX N4;71.2043;129.183;187.222;2022-09-26 16:14:02;;;;F;This was painful
1;Akagi 2;SE;Weepy;Jonas Gustafsson;Group N4;Mitsubishi Lancer Evo IX N4;72.0435;130.118;187.592;2022-09-28 11:21:55;;;;F;
1;Akagi 2;DE;Thom B;Thomas B;Group N4;Mitsubishi Lancer Evo IX N4;71.362;130.31;188.66;2022-10-01 22:49:13;;;;F;could be worse
1;Akagi 2;AU;satchmo;Tom Kidman;Group N4;Mitsubishi Lancer Evo IX N4;71.6039;131.121;188.845;2022-09-30 01:03:32;;;;F;
1;Akagi 2;BR;Htchet;HBM;Group N4;Mitsubishi Lancer Evo IX N4;72.9209;130.819;189.23;2022-10-01 21:06:28;;;;F;
1;Akagi 2;US;HotdogCowboy;Calvin;Group N4;Mitsubishi Lancer Evo IX N4;73.2652;131.607;189.265;2022-10-03 03:17:26;;;;F;Struggled to find flow
1;Akagi 2;SE;Bollis;Tommi;Group N4;Mitsubishi Lancer Evo IX N4;73.5963;131.235;190.257;2022-09-26 19:46:42;;;;F;
1;Akagi 2;EE;thezenorr;Hugo Rüütli;Group N4;Mitsubishi Lancer Evo IX N4;73.1315;132.174;190.642;2022-09-27 19:28:40;;;;F;i dont like uphill hairpins
