SS,Stage name,Nationality,User name,Real name,Group,Car name,time1,time2,time3,Finish realtime,Penalty,Service penalty,Super rally,Progress,Comment,,,
1,Harju 2019,AU,woosh,woosh mk,Group 4,Porsche 911 SC 3.0 Grp4,31.0343,83.3876,118.655,2022-10-09 15:20:50,,,,F,Not a bad start, lets see how itll go,,
1,Harju 2019,AU,winstall,winstall tk,Group 4,Opel Ascona 400 Grp4,31.0345,84.1366,119.809,2022-10-08 23:22:56,,,,F,,,,
2,Sarvana II,AU,woosh,woosh mk,Group 4,Ford Escort Mk II RS Grp4,74.6171,168.941,238.898,2022-10-09 22:13:40,,,,F,,,,
2,Sarvana II,AU,winstall,winstall tk,Group 4,Porsche 911 SC 3.0 Grp4,78.5849,175.799,244.386,2022-10-09 13:45:20,,,,F,im doing a thing,,,
3,Mytt��l�,AU,woosh,woosh mk,Group 4,Ford Escort Mk II RS Grp4,45.2274,101.799,146.073,2022-10-09 22:16:56,,,,F,,,,
3,Mytt��l�,AU,winstall,winstall tk,Group 4,Porsche 911 SC 3.0 Grp4,46.9458,104.442,149.691,2022-10-09 15:31:12,,,,F,Bit too cautious,,,
4,Slovakia Ring 2014,AU,woosh,woosh mk,Group 4,Porsche 911 SC 3.0 Grp4,150.707,314.898,421.578,2022-10-09 13:57:14,,,,F,that was fucking awesome,,,
4,Slovakia Ring 2014,AU,winstall,winstall tk,Group 4,Porsche 911 SC 3.0 Grp4,156.523,320.409,427.847,2022-10-09 15:39:44,,,,F,,,,
5,Haguenau 2012,AU,woosh,woosh mk,Group 4,Porsche 911 SC 3.0 Grp4,93.2349,178.678,264.77,2022-10-09 14:02:33,,,,F,YEAH AWESOME,,,
5,Haguenau 2012,AU,winstall,winstall tk,Group 4,Porsche 911 SC 3.0 Grp4,101.06,186.95,274.991,2022-10-09 15:46:12,,,,F,Stupid spin, and in general bad driving,,
6,Mattila,AU,woosh,woosh mk,Group 4,Porsche 911 SC 3.0 Grp4,130.686,255.51,398.629,2022-10-09 15:54:38,,,,F,Waaaaay too careful there,,,
6,Mattila,AU,winstall,winstall tk,Group 4,Ford Escort Mk II RS Grp4,133.306,261.523,399.489,2022-10-09 22:55:07,,,,F,,,,
7,Castrezzato,AU,woosh,woosh mk,Group 4,Porsche 911 SC 3.0 Grp4,115.378,238.202,349.314,2022-10-09 14:20:29,,,,F,gWR, nice, had a Hyundai moment in the stage, shifter came off the rig
7,Castrezzato,AU,winstall,winstall tk,Group 4,Porsche 911 SC 3.0 Grp4,114.348,235.571,353.374,2022-10-09 16:01:55,,,,F,Had to stall the car twice at hairpins, damnit,,
8,Lyon - Gerland,AU,woosh,woosh mk,Group 4,Porsche 911 SC 3.0 Grp4,13.1582,28.0177,39.0941,2022-10-09 16:03:38,,,,F,Near stall again at the only hairpin, sigh. At least I survived the event,,
8,Lyon - Gerland,AU,winstall,winstall tk,Group 4,Porsche 911 SC 3.0 Grp4,14.0402,28.865,39.4524,2022-10-10 04:11:49,,,,F,No, I did not lift before crashing into the wall,,
