Nat,Driver,Team Image,Team,Car,Class,Discord,Gamertag,Platform,Racenet,Standings,Flag,Twitter,Club
,Babz,,Ramrod,,JRC1,Babz,Babz,PC,Babz03,Babz,Belgium,,X
,BrothersChris,,BR Cobras,,JRC1,BrothersChris,BrothersChris,PC,BrothersChris,any,UK British,BrothersChris,X
,emuga12,,CBR,,JRC1,Emuga12,Emuga12,PC,Emuga12 or Failgam3rxd ,Emuga12,New Zealand,,X
,fazzi,,privateer,,JRC1,fazzi,fazzixd,PC,fazzixd,fazzi,Polish flag,fazzi@FazoffGaming,X
,Flawless Method,,TUS,,JRC1,Flawless Method,Flawless_Method,PC,FlawlessMethod,Flawless Method,Canada,,X
,FruityGoblin,,Ramrod,,JRC1,Etien,Runescape Goblin,PC,FruityGoblin,FruityGoblin,Canada,,X
,FusionJohn,,BR Bears,,JRC1,FusionJohn#4393,FusionJohn ,PC,FusionJohn ,FusionJohn ,English,FJTweets,X
,gdunc,,privateer,,JRC1,gdunc,MyOnePube,PC,georgejad,gdunc,Scotland,,X
,Hitmansheep24,,BR Dragons,,JRC1,Hitmansheep24,Sean_Da_Sheep24,PS4,Hitmansheep24,Discord,England,,X
,LVR Ssplatered,,LVR,,JRC1,Ssplatered#6316,Ssplatered,XBOX,Ssplatered,LVR Ssplatered,Canada,@Ssplatered,X
,MaxPower,,IM,,JRC1,MaxPower,IM-MaxPower,PC,IM-MaxPowerACC,MaxPower,Spanish,,X
,Mike.Dee,,LVR,,JRC1,Mike.Dee,Mike Dee,PC,CatBadders,Mike.Dee,USA,,X
,misix,,privateer,,JRC1,misix,WCD_misix,PC,WCD_misix,misix,Austria,MichaelMiesenb1,X
,Mysticman22,,Flat Out,,JRC1,Mysticman22,Mysticman_22,PS4,Mysticman22,Mysticman22,Finland,,X
,Puki2579,,CBR,,JRC1,Puki2579,Puki2579,PC,dylanh25,Puki2579,New Zealand,,X
,Pynklu,,Half Out,,JRC1,tomothy,Pynklu,PC,pynklu,Tomothy,Belgium,,X
,QazRa,,Half Out,,JRC1,Qazra,QazRa,PC,QazRa,QazRa,Finland,,X
,Rallymanic1964,,CBR,,JRC1,Rallymanic1964,Rallymanic1964,PC,Rallymanic1964,Rallymanic1964,New Zealand ,,X
,Raumo,,Ramrod,,JRC1,Raumo#8935,bauser777,PC,Raumo,Raumo,Canada,,X
,s|m,,Half Out,,JRC1,s|m,S1m,PC,S1m,s|m,Estonian,,X
,Satchmo,,Flat Out,,JRC1,satchmo-tk,satchmo,PC,SatchmoKT,gamertag,Australia,,X
,SFR_rallimoilane,,,,JRC1,SFR_rallimoilane,SFR_rallimoilane,PS4,SFRrallimoilane,What evs,Finland,,X
,Siggis90,,privateer,,JRC1,Siggis90 ,Siggis90 ,PS4,Siggis90 ,Siggis90,🇳🇴 ,,X
,Superciuc93,,Flat Out,,JRC1,Superciuc,Superciuc93,PS4,superciuc,Superciuc93,Italy,,X
,TarmacPirate,,LVR,,JRC1,LVR TarmacPirate ,TarmacPirate,XBOX,DirtPirate,Discord,USA,,X
,TUS Cham,,TUS,,JRC1,TUS Cham,TUS Cham,PC,chamyoko,TUS Cham,USA,www.twitter.com/tus_cham,X
,TUS Phoenix,,TUS,,JRC1,TUS Phoenix#3570,TUS Phoenix,PC,Phoenix190,TUS Phoenix,Sweden,@TUS_Phoenix,X
,Wumy73,,BR Dragons,,JRC1,Wumy73,Wumy73,PS4,Wumy73,Wumy73,Croatia,,X
,Agersi,,BR Bears,,JRC2,Agersi,Agersi - 420LegalizeIt,PC,Agersi,Agersi,Denmark,Agersi,X
,an70ny,,Turbo Drift,,JRC2,nyantony,an70ny,PC,an70ny,an70ny,Italy,,X
,andrus,FPS,FPS,,JRC2,andrus 🐾#8501,andrus,PC,andrusnabz,andrus,Lublin city flag,,X
,BuL,,Ramrod,,JRC2,BuL,BuL,PC,JuBul,BuL,France,BuLLaS34,X
,chaffneue,,BR Bears,,JRC2,chaffneue,neuezeit,PS4,chaffneue,chaffneue,canada,,X
,Chaosinterface,,Flat Out,,JRC2,Chaosinterface,Chaosinterface,PC,Chaosinterface,Chaosinterface,USA,,X
,Charb_TV,,BR Dragons,,JRC2,Charb#7636,Charb,PC,Charb,Charb,USA,@TheCharb,X
,de Pawel,,,,JRC2,de Pawel,de Pawel,PC,de Pawel,de Pawel,USA,,X
,ET18,,BR Dragons,,JRC2,ET18#2600,et18,PC,ET18,ET18,USA,@518ET,X
,h7kal,,BR Cobras,,JRC2,H7KAL__,H7KAL__,,H7KAL__,H7KAL__,,,X
,Hoff,,privateer,,JRC2,Hoff,Hoff,PC,ItsHoff,Hoff,Finland,,X
,hutchington,,Flat Out,,JRC2,hutchie97,mobileisland193,XBOX,hutchington,hutchington,UK,@hutchie97,X
,Hyperborea,,BR Dragons,,JRC2,COLofDUTY,The Last Son of Hyperborea,PC,The Last Son of Hyperborea,Hyperborea,English,,X
,jktla,,privateer,,JRC2,jktla,jktla,PC,jktla,jktla,Finland,,X
,Mahsaap,,BR Bears,,JRC2,Mahsaap,Mahsaap,PC,Bludra,Mahsaap,Canada,MahsaBludra,X
,MechaMic_38,,BR Cobras,,JRC2,Slav_Testament (MechaMic38)#2995,MechaMic_38,PC,MechaMic38,MechaMic_38,Italy,,X
